x,y
0.8248,-2.28142
0.8256,-2.28325
0.8264,-2.28508
0.8272,-2.28691
0.828,-2.28874
0.8288,-2.29057
0.8296,-2.2924
0.8304,-2.29424
0.8312,-2.29607
0.832,-2.29791
0.8328,-2.29975
0.8336,-2.30159
0.8344,-2.30343
0.8352,-2.30528
0.836,-2.30712
0.8368,-2.30897
0.8376,-2.31081
0.8384,-2.31266
0.8392,-2.31451
0.84,-2.31637
0.8408,-2.31822
0.8416,-2.32008
0.8424,-2.32193
0.8432,-2.32379
0.844,-2.32565
0.8448,-2.32751
0.8456,-2.32938
0.8464,-2.33124
0.8472,-2.33311
0.848,-2.33497
0.8488,-2.33684
0.8496,-2.33871
0.8504,-2.34058
0.8512,-2.34246
0.852,-2.34433
0.8528,-2.34621
0.8536,-2.34808
0.8544,-2.34996
0.8552,-2.35184
0.856,-2.35373
0.8568,-2.35561
0.8576,-2.3575
0.8584,-2.35938
0.8592,-2.36127
0.86,-2.36316
0.8608,-2.36505
0.8616,-2.36694
0.8624,-2.36884
0.8632,-2.37073
0.864,-2.37263
0.8648,-2.37453
0.8656,-2.37643
0.8664,-2.37833
0.8672,-2.38024
0.868,-2.38214
0.8688,-2.38405
0.8696,-2.38596
0.8704,-2.38787
0.8712,-2.38978
0.872,-2.39169
0.8728,-2.3936
0.8736,-2.39552
0.8744,-2.39744
0.8752,-2.39936
0.876,-2.40128
0.8768,-2.4032
0.8776,-2.40512
0.8784,-2.40705
0.8792,-2.40897
0.88,-2.4109
0.8808,-2.41283
0.8816,-2.41476
0.8824,-2.41669
0.8832,-2.41863
0.884,-2.42056
0.8848,-2.4225
0.8856,-2.42444
0.8864,-2.42638
0.8872,-2.42832
0.888,-2.43026
0.8888,-2.43221
0.8896,-2.43416
0.8904,-2.4361
0.8912,-2.43805
0.892,-2.44
0.8928,-2.44196
0.8936,-2.44391
0.8944,-2.44587
0.8952,-2.44783
0.896,-2.44978
0.8968,-2.45174
0.8976,-2.45371
0.8984,-2.45567
0.8992,-2.45764
0.9,-2.4596
0.9008,-2.46157
0.9016,-2.46354
0.9024,-2.46551
0.9032,-2.46749
0.904,-2.46946
0.9048,-2.47144
0.9056,-2.47342
0.9064,-2.4754
0.9072,-2.47738
0.908,-2.47936
0.9088,-2.48134
0.9096,-2.48333
0.9104,-2.48532
0.9112,-2.48731
0.912,-2.4893
0.9128,-2.49129
0.9136,-2.49328
0.9144,-2.49528
0.9152,-2.49727
0.916,-2.49927
0.9168,-2.50127
0.9176,-2.50328
0.9184,-2.50528
0.9192,-2.50728
0.92,-2.50929
0.9208,-2.5113
0.9216,-2.51331
0.9224,-2.51532
0.9232,-2.51733
0.924,-2.51935
0.9248,-2.52136
0.9256,-2.52338
0.9264,-2.5254
0.9272,-2.52742
0.928,-2.52945
0.9288,-2.53147
0.9296,-2.5335
0.9304,-2.53552
0.9312,-2.53755
0.932,-2.53958
0.9328,-2.54162
0.9336,-2.54365
0.9344,-2.54569
0.9352,-2.54772
0.936,-2.54976
0.9368,-2.5518
0.9376,-2.55384
0.9384,-2.55589
0.9392,-2.55793
0.94,-2.55998
0.9408,-2.56203
0.9416,-2.56408
0.9424,-2.56613
0.9432,-2.56819
0.944,-2.57024
0.9448,-2.5723
0.9456,-2.57436
0.9464,-2.57642
0.9472,-2.57848
0.948,-2.58054
0.9488,-2.58261
0.9496,-2.58468
0.9504,-2.58674
0.9512,-2.58881
0.952,-2.59089
0.9528,-2.59296
0.9536,-2.59503
0.9544,-2.59711
0.9552,-2.59919
0.956,-2.60127
0.9568,-2.60335
0.9576,-2.60544
0.9584,-2.60752
0.9592,-2.60961
0.96,-2.6117
0.9608,-2.61379
0.9616,-2.61588
0.9624,-2.61797
0.9632,-2.62007
0.964,-2.62216
0.9648,-2.62426
0.9656,-2.62636
0.9664,-2.62846
0.9672,-2.63057
0.968,-2.63267
0.9688,-2.63478
0.9696,-2.63689
0.9704,-2.639
0.9712,-2.64111
0.972,-2.64323
0.9728,-2.64534
0.9736,-2.64746
0.9744,-2.64958
0.9752,-2.6517
0.976,-2.65382
0.9768,-2.65594
0.9776,-2.65807
0.9784,-2.6602
0.9792,-2.66233
0.98,-2.66446
0.9808,-2.66659
0.9816,-2.66872
0.9824,-2.67086
0.9832,-2.673
0.984,-2.67514
0.9848,-2.67728
0.9856,-2.67942
0.9864,-2.68156
0.9872,-2.68371
0.988,-2.68586
0.9888,-2.68801
0.9896,-2.69016
0.9904,-2.69231
0.9912,-2.69447
0.992,-2.69662
